id,name,RightVolumeML,Code,Product,LeftVolumeML,Score,Method
168,Whitley Neill Pink Apricot Gin,,,,,,right_to_left
169,Whitley Neill DC Gin,,,,,,right_to_left
170,Whitley Neill Black Cherry Gin,,,,,,right_to_left
171,Whitley Neill Blood Orange Gin,,,,,,right_to_left
172,Whitley Neill Gooseberry Gin,,,,,,right_to_left
173,Whitley Neil Pineapple Gin,,012954,W/NEIL PINEAPPLE,,1.0,right_to_left
174,Whitley Neill Pink Grape Gin,,,,,,right_to_left
175,Whitley Neill Raspberry Gin,,,,,,right_to_left
176,Whitley Neill Rhubarb Gin,,,,,,right_to_left
177,Auchentoshan,,014041,AUCHENTOSHAN,,1.0,right_to_left
178,Glen Scotia,,014371,GLEN SCOTIA,,1.0,right_to_left
179,Glenlivet Malt Whisky 12YO,,,,,,right_to_left
180,JJ Whitley Vodka,,,,,,right_to_left
181,Amaretto White,,018091,AMARETTO WHITE,,1.0,right_to_left
182,Kahlua,,018861,KAHLUA,,1.0,right_to_left
183,Archers Schnapps,,019340,ARCHERS SCHNAPPS,,1.0,right_to_left
184,Sourz Apple,,,,,,right_to_left
185,Sourz Cherry,,,,,,right_to_left
186,Dead Man Fingers Blue Raspberry Rum,,,,,,right_to_left
187,Tequilla Rose,,,,,,right_to_left
188,Dead Mans Fingers Passion Fruit Rum Bottle,,,,,,right_to_left
189,Cockburns Special,,022451,COCKBURNS SPECIAL,,1.0,right_to_left
190,Grahams LBC,,,,,,right_to_left
191,Triple Crown Port,,,,,,right_to_left
192,Brookford Cabernet Sauv,,,,,,right_to_left
193,Oude Kaap Chardonnay 750ml Bottle,,,,,,right_to_left
194,Oude Kaap Chenin Blanc 750ml Bottle,,,,,,right_to_left
196,Land of Malbec White Malbec 750ml,,,,,,right_to_left
197,Casa Santiago Merlot 750ml Bottle,,,,,,right_to_left
198,Merlot IL Molo,,,,,,right_to_left
200,Pino Grigio Trevigiana  DOC,,,,,,right_to_left
201,Pino Grigio Blush Trevigiana,,,,,,right_to_left
202,Arte Noble Reserve Pino Noir 75cl Bottle,,,,,,right_to_left
203,Pino Noir Bourgogne,,,,,,right_to_left
204,Rochebin Pinot Noir 750ml Bottle,,,,,,right_to_left
205,Choza Rioja Crianza 750ml Bottle,,,,,,right_to_left
206,Aotearoa Sauvignon Blanc 750ml Bottle,,,,,,right_to_left
207,Oude Kaap Sauvignon Blanc 750ml Bottle,,,,,,right_to_left
208,Casa Santiago Sauvignon Blanc 750ml Bottle,,,,,,right_to_left
209,Cava Lacrima,,,,,,right_to_left
211,75cl Trevigiana Prosecco Rose,,,,,,right_to_left
214,Cantina Trevigiana Rose Prosecco 75cl Bottle,,,,,,right_to_left
215,Peroni Nastro Azzuro 330ml Bottle,,055061,PERONI N/AZZURO,,1.0,right_to_left
216,Britvic J2O Orange & Passion Fruit,,,,,,right_to_left
217,Britvic J2O Apple & Raspberry,,,,,,right_to_left
218,Britvic J2O  Apple & Mango,,,,,,right_to_left
219,Fever Tree Aromatic,,071521,F/TREE AROMATIC,,1.0,right_to_left
220,Fever Tree Ginger Ale,,071551,F/TREE GINGER ALE,,1.0,right_to_left
221,Fruit Shoot  Apple & Blackcurrant,,,,,,right_to_left
222,Belu Sparkling Water,,,,,,right_to_left
223,Springbourne Water,,075701,SPRINGBOURNE WATER,,1.0,right_to_left
224,Diet Cola,,,,,,right_to_left
225,Coke Zero,,,,,,right_to_left
226,Orange Tango,,,,,,right_to_left
227,Tango Orange Bottle,,,,,,right_to_left
228,Fanta Orange Bottle,,,,,,right_to_left
229,Lucozade Energy Orange,,,,,,right_to_left
230,Lucozade Energy Original,,,,,,right_to_left
231,Lucozade Sport Orange,,,,,,right_to_left
232,Lucozade Sport Raspberry,,,,,,right_to_left
233,Oasis Citrus Fruits,,,,,,right_to_left
234,Oasis Summer Fruits,,,,,,right_to_left
235,Oasis Tropical,,,,,,right_to_left
236,Oasis Mango,,,,,,right_to_left
237,Oasis Zero Citrus Fruits,,,,,,right_to_left
238,Oasis Zero Summer Fruits,,,,,,right_to_left
239,Oasis Zero Tropical,,,,,,right_to_left
240,Oasis Zero Mango,,,,,,right_to_left
241,Ribena,,,,,,right_to_left
242,Ribena Strawberry,,,,,,right_to_left
