Code,Name,Size,Yield,UnitCost,MesSellPrice,UnitSelPrice,OpenStockUnit,OpenStockPrice,StockHoldingUnits,StockHoldingPrice
999005,NELSONS FLV RUM - CHOCOLATE,70,28.0,24.57,0.00,0.00,0.5,12.53,0.5,11.06
999006,NELSONS FLV RUM - SIGNATURE,70,28.0,24.57,0.00,0.00,1.2,29.24,1.1,25.80
999007,SOURZ - APPLE,70,28.0,7.88,0.00,0.00,1.1,8.34,1.1,8.34
999008,SOURZ - CHERRY,70,28.0,7.88,0.00,0.00,0.9,7.42,0.9,7.42
999009,BRITVIC J2O – Apple & Mango,275,12.0,13.54,0.00,0.00,5.1,69.24,3.8,51.93
999010,BRITVIC J2O – Apple & Raspberry,275,12.0,13.54,0.00,0.00,4.2,56.36,3.1,42.27
999011,BRITVIC J2O – Orange & Passion Fruit,275,12.0,13.54,0.00,0.00,3.9,53.14,2.9,39.85
999012,POSTMIX CORDIAL - ORANGE,LTR,20.0,1.44,0.00,0.00,19.7,28.35,17.2,24.75
999013,POSTMIX CORDIAL - BLACKCURRANT,LTR,20.0,1.44,0.00,0.00,23.6,34.02,20.6,29.70
999014,POSTMIX CORDIAL - LIME,LTR,20.0,1.44,0.00,0.00,19.7,28.35,17.2,24.75
999015,CRISPS PIPERS 40G - Cheddar & Onion,TEN,10.0,6.20,0.00,0.00,2.9,17.98,3.4,20.87
999016,CRISPS PIPERS 40G - Cider & Vinegar,TEN,10.0,6.20,0.00,0.00,3.7,23.25,4.4,26.98
999017,CRISPS PIPERS 40G - Longhorn Beef,TEN,10.0,6.20,0.00,0.00,2.6,16.23,3.0,18.83
999018,CRISPS PIPERS 40G - See Salt,TEN,10.0,6.20,0.00,0.00,3.7,22.81,4.3,26.47
999019,CRISPS PIPERS 40G - Sweet Chilli,TEN,10.0,6.20,0.00,0.00,3.3,20.18,3.8,23.41

999020,Guest Ale,GAL,8.0,12.02,0.00,0.00,59.5,676.85,32.4,389.57
