Code, Name, Size, Holding, Cost_Price, Value, Division
090021,COCONUT MILK 400,TIN,1.0,0.88,0.88,DRY GOODS
090022,CORNFLOUR 3.5K,BAG,1.0,7.95,7.95,DRY GOODS
090024,CRISPS PIPERS 600G,TUB,1.5,5.26,7.89,DRY GOODS
090025,FLOUR PLAIN 1.5K,BAG,4.8,1.51,7.25,DRY GOODS
090098,FLOUR RICE,3KG,0.5,17.70,8.85,DRY GOODS
090027,FLOUR S/R 1.5KG,BAG,5.8,1.63,9.45,DRY GOODS
090030,GOLDEN SYRUP 750G,TUB,1.5,3.23,4.85,DRY GOODS
090032,GRAVY BISTO POULTRY,1.8,1.0,11.35,11.35,DRY GOODS
090099,GRAVY BROWNING,1.2,1.0,8.96,8.96,DRY GOODS
090033,GRAVY KNORR 1.88KG,TUB,6.0,13.99,83.94,DRY GOODS
090035,HERBS & SPICES,TUB,38.0,4.00,152.00,DRY GOODS
090101,HONEY SQY,340,5.5,3.83,21.07,DRY GOODS
090102,HOT DOGS 3.4KG,TIN,1.0,13.73,13.73,DRY GOODS
090037,JAM 28G JAR,EAC,164.0,0.28,45.92,DRY GOODS
090103,JAM CHILLI,2.4,0.5,6.56,3.28,DRY GOODS
090039,JAM STRAWBERRY,3KG,36.0,12.40,446.40,DRY GOODS
090040,JAM VARIOUS,454,1.0,1.20,1.20,DRY GOODS
090104,LENTILS RED,3KG,0.5,11.22,5.61,DRY GOODS
090042,MARMALADE 28G JAR,EAC,57.0,0.31,17.67,DRY GOODS
090045,MUSHY PEAS 2.6KG,TIN,2.0,4.40,8.80,DRY GOODS
090112,NUT PINE,KGS,1.0,32.95,32.95,DRY GOODS
090048,NUT PISTACHIO,1KG,1.0,19.97,19.97,DRY GOODS
090049,OATS PORRIDGE 3KG,BAG,1.0,8.76,8.76,DRY GOODS
090106,OIL BASIL,500,4.0,8.28,33.12,DRY GOODS
090100,OIL GARNISH,200,3.0,7.40,22.20,DRY GOODS
090051,OIL OLIVE 5 LTR,BOT,1.0,19.73,19.73,DRY GOODS
090052,OIL OLLECO 20LTR,TUB,5.0,39.99,199.95,DRY GOODS
090056,PANKO CRUMB 1KG,BAG,5.5,5.16,28.38,DRY GOODS
090061,PEARS 800G,410,4.0,1.10,4.40,DRY GOODS
090108,PICKLED ONIONS DRIVERS,2.2,1.0,11.19,11.19,DRY GOODS
090107,PIE FILLING CHERRY,2KG,1.0,16.24,16.24,DRY GOODS
090105,PRAWN CRACKERS,BAG,0.5,15.35,7.68,DRY GOODS
090064,RICE ARBORIO,1KG,1.0,3.56,3.56,DRY GOODS
090065,RICE BASMATI 5KG,BAG,0.5,26.10,13.05,DRY GOODS
090067,RICE PUDDING 5KG,BAG,0.5,5.18,2.59,DRY GOODS
090068,SALT 6KG,TUB,1.5,11.71,17.57,DRY GOODS
090069,SCH PEPPER,BOX,1.0,8.25,8.25,DRY GOODS
090070,SCH SALT,BOX,1.0,6.63,6.63,DRY GOODS
090072,SPONGE FINGERS,500,1.0,4.87,4.87,DRY GOODS
090073,STUFFING MIX 3KG,BAG,2.5,5.99,14.98,DRY GOODS
090110,SUGAR CANE PURE,TUB,2.0,5.31,10.62,DRY GOODS
090076,SUGAR DEMARARA 3KG,BAG,0.5,6.83,3.42,DRY GOODS
090109,SUGAR GRANULATED 2KG,BAG,1.0,3.44,3.44,DRY GOODS
090077,SUGAR ICING 3KG,BAG,1.3,5.99,7.79,DRY GOODS
090078,SUGAR LIGHT BROWN,3KG,0.1,5.18,0.52,DRY GOODS
090079,SUGAR MUSCAVARDO,BOX,10.0,2.78,27.80,DRY GOODS
090080,SUGAR STICKS BRW,BOX,3.0,8.91,26.73,DRY GOODS
090081,SUGAR STICKS WHT,BOX,2.0,6.48,12.96,DRY GOODS
090082,SULTANAS 3KG,BAG,0.7,12.14,8.50,DRY GOODS
090083,SWEETCORN 326G,TIN,5.0,1.06,5.30,DRY GOODS
090084,SWEETNER X1000,BOX,2.0,10.71,21.42,DRY GOODS
090111,TACO SHELLS,BOX,1.0,24.84,24.84,DRY GOODS
090085,TOM PUREE 142G,EAC,1.0,0.60,0.60,DRY GOODS
090086,TOMATO CHOPPED 800,TIN,6.0,1.09,6.54,DRY GOODS
090087,TOMATOES CHOP 2.5K,TIN,7.0,3.90,27.30,DRY GOODS
090089,TUNA 1.7KG,TIN,2.0,8.72,17.44,DRY GOODS
090090,TUNA 800G,TIN,8.0,4.25,34.00,DRY GOODS
090113,VANILLA ESSENSE,BOT,0.5,3.07,1.54,DRY GOODS
090091,VINEGAR 5LTR,BOT,1.0,6.91,6.91,DRY GOODS
090092,VINEGAR SARSONS 250ML,EAC,8.0,1.43,11.44,DRY GOODS
090093,VINEGAR W/WINE 5LT,TUB,7.2,6.99,50.33,DRY GOODS
090094,WALNUTS KGS,BAG,1.8,9.76,17.57,DRY GOODS
100003,BEETROOT WELLINGTON,EAC,2.0,2.57,5.14,PREPARED MEALS
100025,H/M SPECIALS,PTN,42.0,1.50,63.00,PREPARED MEALS
100006,L/M VEG OPTIONS,BOX,24.0,2.50,60.00,PREPARED MEALS
100022,NUT ROAST,EAC,6.0,4.09,24.54,PREPARED MEALS
100007,PASTIES VARIOUS,EAC,28.0,1.46,40.88,PREPARED MEALS
100010,PIE STEAK ALE,EAC,25.0,3.77,94.25,PREPARED MEALS
100024,PIZZA CHS & TOM,BOX,1.0,19.57,19.57,PREPARED MEALS
100012,PORK PIES MINI,BOX,5.0,3.02,15.10,PREPARED MEALS
100016,SAMOSAS VEG X50,BOX,0.5,44.44,22.22,PREPARED MEALS
100017,SAUSAGE ROLLS X40,BOX,0.8,22.99,18.39,PREPARED MEALS
100023,SAUSAGE VEG,BOX,0.6,13.57,8.14,PREPARED MEALS
100018,SAVOURY EGGS,X80,0.9,13.17,11.85,PREPARED MEALS
100019,SPRING ROLL DUCK X50,X90,1.5,40.32,60.48,PREPARED MEALS
100020,STEAK SLICE,EAC,36.0,1.15,41.40,PREPARED MEALS

