Venners_Code,Venners_Name,Venners_Size,Stock,Venners_Cost,Venners_Value,Stock_Id,Stock_Name,Suggested_Name
999012,POSTMIX CORDIAL - BLACKCURRANT,POSTMIX,0,1.44,26.15,147,Blackcurrant Cordial PostMix,Blackcurrant Cordial Post Mix [999012]
999013,POSTMIX CORDIAL - LIME,POSTMIX,0,1.44,26.15,145,Lime Cordial PostMix,Lime Cordial Post Mix [999013]
999014,POSTMIX CORDIAL - ORANGE,POSTMIX,0,1.44,26.15,146,Orange Cordial PostMix,Orange Cordial Post Mix [999014]
999015,CRISPS PIPERS 40G - Cheddar & Onion,TEN,0,6.2,19.72,155,Pipers Crisps - Cheddar & Onion,Crisps Pipers 40g Cheddar Onion [999015]
999016,CRISPS PIPERS 40G - Cider & Vinegar,TEN,0,6.2,19.72,157,Pipers Crisps - Cider & Vinegar,Crisps Pipers 40g Cider Vinegar [999016]
999017,CRISPS PIPERS 40G - Longhorn Beef,TEN,0,6.2,19.72,85,Pipers Crisps - Longhorn Beef,Crisps Pipers 40g Longhorn Beef [999017]
999018,CRISPS PIPERS 40G - See Salt,TEN,0,6.2,19.72,156,Pipers Crisps - See Salt,Crisps Pipers 40g See Salt [999018]
999019,CRISPS PIPERS 40G - Sweet Chilli,TEN,0,6.2,19.72,158,Pipers Crisps - Sweet Chilli,Crisps Pipers 40g Sweet Chilli [999019]

999020,Guest Ale,GAL,16.2,10.57,171.36,3,BlackHole Guest Ale,Guest Ale Draught [999020]
