Venners_Code,Venners_Name,Venners_Size,Stock,Venners_Cost,Venners_Value,Stock_Id,Stock_Name,Suggested_Name
999045,Patron Reposado Tequilla ,700ml,0,0,0,262,Patron Reposado Tequilla ,Patron Reposado Tequilla [999045]
012772,RED DOOR GIN FOC,700ml,0,0,0,281,Red Door Gin,Redbull Door Gin 700ml [012772]
012807,RUGBY GIN FOC,700ml,0,0,0,282,Rugby Gin,Rugby Gin 700ml [012807]
999047,Rhubarb Gin,700ml,0,0,0,55,Rhubarb Gin,Rhubarb Gin 700ml [999047]
019513,SAMBUCA ANTICA,700ml,0,14.87,29.74,79,Sambuca Antica,Sambuca Antica 700ml [019513]
019835,SMIRNOFF PEACH,700ml,0,18.25,14.6,307,Smirnoff Miami Peach Vodka 70cl,Smirnoff Miami Peach Vodka 700ml [019835]
016801,SMIRNOFF RED,700ml,0,17.5,33.25,57,Smirnoff Red Label Vodka,Smirnoff Red Label Vodka 700ml [016801]
015501,SOUTHERN COMFORT,700ml,0,20.65,76.41,58,Southern Comfort,Southern Comfort 700ml [015501]
999053,Sherry,700ml,0,0,0,56,Sherry,Sherry 700ml [999053]
014841,TALISKER,700ml,0,39.38,100.42,59,Talisker Malt Whisky 10YO,Talisker Malt Whisky 700ml [014841]
019697,TEQ DEAD MAN RASP,700ml,0,0,0,186,Dead Man Fingers Blue Raspberry Rum,Dead Mans Finger Blue Raspberry 700ml [019697]
019785,TEQ PATRON SILVER,700ml,0,0,0,298,Patron Silver Tequilla ,Patron Silver Tequilla 700ml [019785]
019793,TEQ ROSE,700ml,0,13.49,26.98,187,Tequilla Rose,Tequilla Rose 700ml [019793]
010891,THREE BARRELS,700ml,0,20.53,40.03,263,Three Barrels,Three Barrels 700ml [010891]
999058,Tanqueray Gin,700ml,0,0,0,60,Tanqueray Gin,Tanqueray Gin 700ml [999058]
999059,Tanquery Seville,700ml,0,0,0,76,Tanquery Seville,Tanquery Seville 700ml [999059]
019831,Tia Maria,700ml,0,0,0,62,Tia Maria,Tia Maria 700ml [019831]
012931,W/NEIL APRICOT PINK,700ml,0,27.94,22.35,168,Whitley Neill Pink Apricot Gin,Whitley Neill Apricot Pink Gin 700ml [012931]
012950,W/NEIL B/ORANGE,700ml,0,17.49,36.73,171,Whitley Neill Blood Orange Gin,Whitley Neill Blood Orange Gin 700ml [012950]
