LeftKey,LeftName,LeftVolumeML,RightKey,RightName,RightVolumeML,Score,Rank
011559,KRAKEN COFFEE,,163,Kraken Roast Coffee Rum,,0.9,1
042771,LEVEL HEAD 30L GAL,,138,Level Head,,1.0,1
048061,MADRI GAL,,136,Madri,,1.0,1
034221,MALBEC DESPACITO BOT,,115,Despacito Malbec 750ml Bottle,,1.0,1
034321,MALBEC HERMANDAD BOT,,117,Hermandad Malbec 750ml Bottle,,1.0,1
021540,MARTINI RED,,51,Martini Rosso,,1.0,1
034531,MERLOT CASA SANTI BOT,,113,Casa Merlot  LCL,,0.9,1
034531,MERLOT CASA SANTI BOT,,197,Casa Santiago Merlot 750ml Bottle,,0.9,2
012621,NELSONS GIN,,264,Nelsons Gin,,1.0,1
011601,NELSONS RUM,,264,Nelsons Gin,,1.0,1
023761,NIEPOORT RUBY PORT,,120,Niepoort Port,,0.9,1
065371,OLD MOUT KIWI,,150,Old Mout Kiwi & Lime 500ml Bottle,,0.9,1
076621,ORANGE JUICE 4-1 LTR,,144,Orange Juice Post Mix,,1.0,1
034671,P/GRIGIO TREV ROSE BOT,,107,Cantina Trevigiana Pinot Grigio Blush 750ml Bottle,,0.9,1
034671,P/GRIGIO TREV ROSE BOT,,108,Cantina Trevigiana Pinot Grigio 750ml Bottle,,0.9,2
034671,P/GRIGIO TREV ROSE BOT,,200,Pino Grigio Trevigiana  DOC,,0.9,3
034661,P/GRIGIO TREVIGIAN BOT,,107,Cantina Trevigiana Pinot Grigio Blush 750ml Bottle,,0.9,1
034661,P/GRIGIO TREVIGIAN BOT,,108,Cantina Trevigiana Pinot Grigio 750ml Bottle,,0.9,2
034661,P/GRIGIO TREVIGIAN BOT,,200,Pino Grigio Trevigiana  DOC,,0.9,3
034811,P/NOIR ARTE NOBLE BOT,,202,Arte Noble Reserve Pino Noir 75cl Bottle,,0.9,1
034821,P/NOIR BOURG BOT,,203,Pino Noir Bourgogne,,0.9,1
034821,P/NOIR BOURG BOT,,204,Rochebin Pinot Noir 750ml Bottle,,0.9,2
076701,PEPSI MAX 5-1 LTR,,20,Pepsi Max Can,,1.0,1
076701,PEPSI MAX 5-1 LTR,,95,Pepsi Max Post Mix,,1.0,2
076701,PEPSI MAX 5-1 LTR,,303,Pepsi Max 500ml Bottle,,1.0,3
077681,PEPSI MAX CN,,20,Pepsi Max Can,,1.0,1
077681,PEPSI MAX CN,,95,Pepsi Max Post Mix,,1.0,2
077681,PEPSI MAX CN,,303,Pepsi Max 500ml Bottle,,1.0,3
055061,PERONI N/AZZURO,,148,Peroni Nastro Azzuro 0.0% 330ml Bottle,,1.0,1
055061,PERONI N/AZZURO,,215,Peroni Nastro Azzuro 330ml Bottle,,1.0,2
017651,PIMMS NO1,,52,Pimms No 1,,1.0,1
099712,PORK SCRATCHINGS DOZ,,290,Midlands Pork Scratchings,,0.9,1
038881,PROSECCO TREV ROSE BOT,,211,75cl Trevigiana Prosecco Rose,,1.0,1
038873,PROSECCO TREVIGIAN,,211,75cl Trevigiana Prosecco Rose,,1.0,1
038871,PROSECCO TREVIGIAN BOT,,211,75cl Trevigiana Prosecco Rose,,1.0,1
077993,RED BULL,,304,Redbull 250ml Can,,1.0,1
012772,RED DOOR GIN FOC,,281,Red Door Gin,,1.0,1
035321,RIOJA CHOZA BOT,,205,Choza Rioja Crianza 750ml Bottle,,0.9,1
012807,RUGBY GIN FOC,,282,Rugby Gin,,1.0,1
095751,SALTED NUTS KP 50G DOZ,,83,KP Nuts Salted,,1.0,1
019513,SAMBUCA ANTICA,,79,Sambuca Antica,,1.0,1
048501,SAN MIGUEL GAL,,5,San Miguel,,1.0,1
036551,SAUV BLNC INVINIT BOT,,111,Inviniti Sauvignon Blanc,,0.9,1
